PID,PROLIFIC_PID,title,organisation,description,years,experience,division,ONET,ONET_13_text,ONET_14_text,ONET_15_text,TaskRank_1,TaskRank_2,TaskRank_3,TaskRank_4,TaskRank_5,TaskRank_6,TaskRank_7,TaskRank_8,TaskRank_9,TaskRank_10,TaskRank_11,TaskRank_12,TaskRank_13,TaskRank_14,TaskRank_15,NumberHours_1,NumberHours_2,NumberHours_3,NumberHours_4,NumberHours_5,NumberHours_6,NumberHours_7,NumberHours_8,NumberHours_9,NumberHours_10,NumberHours_11,NumberHours_12,NumberHours_13,NumberHours_14,NumberHours_15,TaskPhysical_1,TaskPhysical_2,TaskPhysical_3,TaskPhysical_4,TaskPhysical_5,TaskPhysical_6,TaskPhysical_7,TaskPhysical_8,TaskPhysical_9,TaskPhysical_10,TaskPhysical_11,TaskPhysical_12,TaskPhysical_13,TaskPhysical_14,TaskPhysical_15,TaskSocial_1,TaskSocial_2,TaskSocial_3,TaskSocial_4,TaskSocial_5,TaskSocial_6,TaskSocial_7,TaskSocial_8,TaskSocial_9,TaskSocial_10,TaskSocial_11,TaskSocial_12,TaskSocial_13,TaskSocial_14,TaskSocial_15,pilot1_1,pilot1_2,pilot1_3,pilot2,TaskOpen_1,RobotSelect_1,RobotTune_1_1,RobotTune_1_2,RobotTune_1_3,RobotTune_1_4,RobotTune_1_5,RobotTune_1_6,RobotTune_1_7,RobotTune_1_8,RobotTune_1_9,RobotTune_1_10,RobotTune_1_11,RobotTune_1_12,RobotTune_1_13,RobotTune_1_14,RobotTune_1_15,RobotTune_1_16,RobotTune_1_17,TaskOpen_2,RobotSelect_2,RobotTune_2_1,RobotTune_2_2,RobotTune_2_3,RobotTune_2_4,RobotTune_2_5,RobotTune_2_6,RobotTune_2_7,RobotTune_2_8,RobotTune_2_9,RobotTune_2_10,RobotTune_2_11,RobotTune_2_12,RobotTune_2_13,RobotTune_2_14,RobotTune_2_15,RobotTune_2_16,RobotTune_2_17,TaskOpen_3,RobotSelect_3,RobotTune_3_1,RobotTune_3_2,RobotTune_3_3,RobotTune_3_4,RobotTune_3_5,RobotTune_3_6,RobotTune_3_7,RobotTune_3_8,RobotTune_3_9,RobotTune_3_10,RobotTune_3_11,RobotTune_3_12,RobotTune_3_13,RobotTune_3_14,RobotTune_3_15,RobotTune_3_16,RobotTune_3_17,TaskOpen_4,RobotSelect_4,RobotTune_4_1,RobotTune_4_2,RobotTune_4_3,RobotTune_4_4,RobotTune_4_5,RobotTune_4_6,RobotTune_4_7,RobotTune_4_8,RobotTune_4_9,RobotTune_4_10,RobotTune_4_11,RobotTune_4_12,RobotTune_4_13,RobotTune_4_14,RobotTune_4_15,RobotTune_4_16,RobotTune_4_17,TaskOpen_5,RobotSelect_5,RobotTune_5_1,RobotTune_5_2,RobotTune_5_3,RobotTune_5_4,RobotTune_5_5,RobotTune_5_6,RobotTune_5_7,RobotTune_5_8,RobotTune_5_9,RobotTune_5_10,RobotTune_5_11,RobotTune_5_12,RobotTune_5_13,RobotTune_5_14,RobotTune_5_15,RobotTune_5_16,RobotTune_5_17,TaskOpen_6,RobotSelect_6,RobotTune_6_1,RobotTune_6_2,RobotTune_6_3,RobotTune_6_4,RobotTune_6_5,RobotTune_6_6,RobotTune_6_7,RobotTune_6_8,RobotTune_6_9,RobotTune_6_10,RobotTune_6_11,RobotTune_6_12,RobotTune_6_13,RobotTune_6_14,RobotTune_6_15,RobotTune_6_16,RobotTune_6_17,TaskOpen_7,RobotSelect_7,RobotTune_7_1,RobotTune_7_2,RobotTune_7_3,RobotTune_7_4,RobotTune_7_5,RobotTune_7_6,RobotTune_7_7,RobotTune_7_8,RobotTune_7_9,RobotTune_7_10,RobotTune_7_11,RobotTune_7_12,RobotTune_7_13,RobotTune_7_14,RobotTune_7_15,RobotTune_7_16,RobotTune_7_17,TaskOpen_8,RobotSelect_8,RobotTune_8_1,RobotTune_8_2,RobotTune_8_3,RobotTune_8_4,RobotTune_8_5,RobotTune_8_6,RobotTune_8_7,RobotTune_8_8,RobotTune_8_9,RobotTune_8_10,RobotTune_8_11,RobotTune_8_12,RobotTune_8_13,RobotTune_8_14,RobotTune_8_15,RobotTune_8_16,RobotTune_8_17,TaskOpen_9,RobotSelect_9,RobotTune_9_1,RobotTune_9_2,RobotTune_9_3,RobotTune_9_4,RobotTune_9_5,RobotTune_9_6,RobotTune_9_7,RobotTune_9_8,RobotTune_9_9,RobotTune_9_10,RobotTune_9_11,RobotTune_9_12,RobotTune_9_13,RobotTune_9_14,RobotTune_9_15,RobotTune_9_16,RobotTune_9_17,TaskOpen_10,RobotSelect_10,RobotTune_10_1,RobotTune_10_2,RobotTune_10_3,RobotTune_10_4,RobotTune_10_5,RobotTune_10_6,RobotTune_10_7,RobotTune_10_8,RobotTune_10_9,RobotTune_10_10,RobotTune_10_11,RobotTune_10_12,RobotTune_10_13,RobotTune_10_14,RobotTune_10_15,RobotTune_10_16,RobotTune_10_17,TaskOpen_11,RobotSelect_11,RobotTune_11_1,RobotTune_11_2,RobotTune_11_3,RobotTune_11_4,RobotTune_11_5,RobotTune_11_6,RobotTune_11_7,RobotTune_11_8,RobotTune_11_9,RobotTune_11_10,RobotTune_11_11,RobotTune_11_12,RobotTune_11_13,RobotTune_11_14,RobotTune_11_15,RobotTune_11_16,RobotTune_11_17,TaskOpen_12,RobotSelect_12,RobotTune_12_1,RobotTune_12_2,RobotTune_12_3,RobotTune_12_4,RobotTune_12_5,RobotTune_12_6,RobotTune_12_7,RobotTune_12_8,RobotTune_12_9,RobotTune_12_10,RobotTune_12_11,RobotTune_12_12,RobotTune_12_13,RobotTune_12_14,RobotTune_12_15,RobotTune_12_16,RobotTune_12_17,TaskOpen_13,RobotSelect_13,RobotTune_13_1,RobotTune_13_2,RobotTune_13_3,RobotTune_13_4,RobotTune_13_5,RobotTune_13_6,RobotTune_13_7,RobotTune_13_8,RobotTune_13_9,RobotTune_13_10,RobotTune_13_11,RobotTune_13_12,RobotTune_13_13,RobotTune_13_14,RobotTune_13_15,RobotTune_13_16,RobotTune_13_17,TaskOpen_14,RobotSelect_14,RobotTune_14_1,RobotTune_14_2,RobotTune_14_3,RobotTune_14_4,RobotTune_14_5,RobotTune_14_6,RobotTune_14_7,RobotTune_14_8,RobotTune_14_9,RobotTune_14_10,RobotTune_14_11,RobotTune_14_12,RobotTune_14_13,RobotTune_14_14,RobotTune_14_15,RobotTune_14_16,RobotTune_14_17,TaskOpen_15,RobotSelect_15,RobotTune_15_1,RobotTune_15_2,RobotTune_15_3,RobotTune_15_4,RobotTune_15_5,RobotTune_15_6,RobotTune_15_7,RobotTune_15_8,RobotTune_15_9,RobotTune_15_10,RobotTune_15_11,RobotTune_15_12,RobotTune_15_13,RobotTune_15_14,RobotTune_15_15,RobotTune_15_16,RobotTune_15_17,pilot3_1,pilot3_2,pilot3_3,pilot4,positive_before,positive_after,worried_before,worried_after,purpose,familiarisation_1,familiarisation_2,familiarisation_3,familiarisation_4,familiarisation_5,familiarisation_6
R_6kmJ9ehwltX9Ho6,665bb93d21c18bac60ffa200,Product Supervisor,Arrivals + Departures Communications,"I manage the strategy, design and development of web based products.",0,6,4,"4,5,6,8,12",,,,,,,2,1,3,,4,,,,5,,,,,,,10,20,10,,35,,,,5,,,,,,,0,0,0,,0,,,,0,,,,,,,100,100,21,,20,,,,20,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brainstorming for better user experiences of our product,"8,9,10,11,13",,,,,,,,15,15,30,25,,15,,,,,Making decisions around component functionality and designs for the best user experience. ,"5,8,11,13,14",,,,,15,,,40,,,10,,20,15,,,,Communicating with teams and aligning to deliverable dates.,"1,4,7,8,11",15,,,20,,,15,40,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,"Answering emails, messages and developing timelines and budgets","1,2,5,8,17",15,15,,,25,,,25,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"writing functional requirements, emails and using resourcing tools","2,5,8,13,17",,20,,,20,,,20,,,,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,80,100,,80,80,20,20,How I preform my job tasks,2,1,1,3,2,1
R_5v866dvimtCjpEV,6115a3b6ac0faa59cd30e327,Clinical Research Coordinator,Montreal Integrated University Health and Social Services Centre,"I am the one the coordinates clinical research trials and makes sure the projects are following research ethics for human subjects. I also make sure the clinical teams and the research teams are able to come to an agreement and work together. I do a lot of the deployment of getting projects running and following up to make sure things are running smoothly. 

Within the organization that I work for all of the health and social services of the provinces are integrated into one large company so the roles vary very greatly. There is 22000+ employees that range from client facing clinicians, to cleaners, data people, HR, etc. 

The broader field I work in is public health. It ranges from jobs in research, jobs in health management, health promotion, hospitals, etc. Within the broader range of clinical research since I am working for a government it tends to be less paid than the private sector. The private sector is mostly big pharma companies but the roles tend to be similar, with more travel involved in larger private companies. Everything I do is at a very local level within my city, even within my work building so there is no travel involved. ",0,2,4,"5,6,8,9,10",,,,,,,,4,3,,5,2,1,,,,,,,,,,8,10,,35,15,5,,,,,,,,,,0,0,,7,0,7,,,,,,,,,,90,65,,10,100,100,,,,,,90,100,90,I think it is very easy to understand and navigate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Constantly problem solving how to make the research projects run smoothly when there are not enough participants or staff. Basically figuring out a way to make both sides, the clinical team and the research team happy. Also constantly making decisions on which projects to work on first since there are so many asks coming in at once.","4,7,8,13,17",,,,20,,,20,20,,,,,20,,,,20,"Having a plan for what to tackle that day since there are so many things going on at once. Also having a system to keep track of everything so you know where the projects are at, whos running them, when you need to follow up, etc.","5,7,10,14,17",,,,,20,,20,,,20,,,,20,,,20,,,,,,,,,,,,,,,,,,,,"I am on my computer all day long reading and answering emails, creating documents, finding documents, organizing projects, creating schedules, writing reports, having teams calls, etc. ","3,5,7,8,13",,,10,,20,,20,30,,,,,20,,,,,"Communicating where you are in the project, expectations, what the research or clinical team are asking of the other. Just sharing information between all of the parties involved and being transparent.","2,11,12,13,17",,20,,,,,,,,,20,10,20,,,,30,"Making the clinical team and research team trust you, feel open to talk about what is going wrong, and ask for things. Also making sure that everyone gets along with eachother. ","1,10,11,12,17",20,,,,,,,,,20,20,20,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,99,91,I thought it was really interesting and well done. The only thing I found difficult was having all of the definitions in a row and having to remember what they all mean.,30,30,10,90,Essentially trying to see the importance of different cognitive skills to be able to have AI do some of the jobs that we are doing or to help automate things. ,3,1,1,1,1,3
R_89sZjYYgqbLMcbD,63d455ba1597e5cf03740bec,Bid Writer,Huws Gray Ltd,"I manage and complete bids for public sector materials supply contracts. I do this for a national builders merchant chain, within their supply chain solutions brand.",2,2,4,"1,3,5,8,9",,,,2,,4,,3,,,5,1,,,,,,,40,,16,,24,,,32,40,,,,,,,0,,0,,0,,,0,10,,,,,,,75,,20,,75,,,35,85,,,,,,,100,100,80,none :),"I have to research the opportunities, carefully reading the specification and requirements . I have to find out what resources we have in the area and whether they are suitable for us to deliver on the contract. I have to gather information from across our business to respond to tender questions - for example finance, ESG, operations, HR, etc.","1,2,5,14,17",15,25,,,25,,,,,,,,,15,,,20,,,,,,,,,,,,,,,,,,,,"I have to manage the pricing we submit with our bids, ensuring we make suitable margins but are competitively priced. I have to cost resources being put into the bids to ensure that we are meeting profitability targets. I have to assess our tender scores and feedback to identify trends in our performance. I also assess our wins and performance figures. ","1,2,3,5,8",20,30,10,,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have to design our proposals to try to win the contracts we are bidding for. This involves deciding what resources are needed. I also need to decide how best to pitch our services/solutions (and what solutions) to best resonate with the potential client. I often have to work with resource constraints (i.e. wht properties we have in the area).,"2,8,14,15,17",,20,,,,,,20,,,,,,20,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almost everything I do is via computers. Information on tenders is communicated electronically. I work with people across the country via email and web meetings. I write bids and complete pricing documents digitally. ,"2,4,5,7,14",,30,,15,20,,20,,,,,,,15,,,,"I have to effective lead projects, communicating information to others about the opportunity, our resources, the factors that influence our bid/proposal, our competition, etc. I have to manage the project gaining information from many different sources. I have to complete written bid documents that communicate our proposals competitively to try to win the contract. ","2,5,8,15,17",,30,,,10,,,15,,,,,,,5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,80,none :),70,70,50,50,Skills needed for jobs,1,1,1,1,1,1
R_3WJbYgpIctQBz76,6693c333b5a3205963d6eab1,Scheduler,Private manufactoring company,Production scheduler,12,16,4,"1,3,5,6,8",,,,5,,3,,4,1,,2,,,,,,,,25,,30,,5,30,,35,,,,,,,,0,,0,,0,0,,6,,,,,,,,22,,7,,55,38,,21,,,,,,,,90,82,95,easy to use,Looking up raw material delivery due dates. Seeking clarity on a customer request. Inventory status.,"2,5,7,14,17",,20,,,30,,20,,,,,,,5,,,25,,,,,,,,,,,,,,,,,,,,Reporting metric data,"2,5,13,14,17",,30,,,35,,,,,,,,15,15,,,5,,,,,,,,,,,,,,,,,,,,Suggestion order alternatives. ,"1,2,5,14,17",10,40,,,20,,,,,,,,,15,,,15,Creating a production schedule,"1,2,3,5,14",15,30,15,,30,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,Generating reports.  Generating a production schedule.,"1,3,4,5,8",20,,20,20,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,69,59,No suggestions.,20,20,70,75,To learn people's perceptions of how automation is used in the workplace.,3,1,1,1,1,1
R_3u1FrCc3d07ISop,60e8b06bfb1c78d450ae9f79,operations,transport,Transport Manager,15,22,4,"2,4,6,9,11",,,,,4,,1,,2,,,5,,3,,,,,,10,,10,,40,,,20,,20,,,,,,100,,100,,100,,,100,,100,,,,,,50,,50,,50,,,50,,50,,,,,100,49,55,no,,,,,,,,,,,,,,,,,,,,Assessing whether the information is comprehensive and covers all necessary aspects of the topic.,"4,5,9,13,17",,,,20,30,,,,15,,,,25,,,,10,,,,,,,,,,,,,,,,,,,,Generating a wide range of ideas in response to user queries.,"1,3,4,11,13",10,,15,25,,,,,,,20,,30,,,,,,,,,,,,,,,,,,,,,,,,"Determining the order in which tasks should be addressed based on urgency, importance, and dependencies.","3,5,8,9,12",,,20,,20,,,35,15,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interpreting and analyzing the questions or prompts provided by users.,"7,8,12,13,16",,,,,,,20,35,,,,10,10,,,25,,,,,,,,,,,,,,,,,,,,,Setting measurable goals and benchmarks for training and development.,"3,7,8,13,14",,,20,,,,15,30,,,,,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,52,no,100,100,0,1,no idea,1,1,3,1,3,1
R_8Sxk5i5sTJDMfhD,6695217887e4d301aa781c12,Demand planner,Rust-oleum,"Planning the production of paint, flooring and wall coatings product in a manufacturing environment",2,8,4,"3,5,6,8,9",,,,,,2,,4,1,,3,5,,,,,,,,,2,,2,30,,2,2,,,,,,,,,22,,21,24,,42,37,,,,,,,,,7,,23,37,,4,57,,,,,,,100,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Looking over sales figures to determine a new forecast for a product ,"2,5,8,10,14",,10,,,10,,,20,,10,,,,50,,,,,,,,,,,,,,,,,,,,,,,When I see an issue or need to move product to around to plan in better,"2,3,5,8,13",,50,10,,10,,,20,,,,,10,,,,,Plumbing and arranging work to be completed my the posu tion staff,"1,5,6,8,15",20,,,,5,5,,60,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,Use everyday and using software in the planning of jobs,"3,5,7,8,10",,,20,,5,,10,60,,5,,,,,,,,Advising people of issues with the plan or loading with other teams to collaborate ,"2,5,6,8,13",,20,,,50,10,,10,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,100,99,,40,62,99,100,How I perform my role and the different memory methods used ,2,2,1,1,3,1
R_8R9DjeW8knXKROW,56b6e889f2fc70000b32f99e,Delay Resolution Coordinator,Railway Company,Delay with Dispute result from the parties disputing the reason for a given train delay,7,12,4,"1,2,3,5,8",,,,4,5,2,,1,,,3,,,,,,,,5,10,10,,5,,,10,,,,,,,,1,0,0,,0,,,14,,,,,,,,35,19,3,,58,,,20,,,,,,,,89,89,80,Was easier and quicker then expected so far into the survey,Finding out the arrival and departure times of the trains being disputed,"1,2,5,8,14",10,40,,,20,,,10,,,,,,20,,,,"Where does the information come from, is it an official source and does the data stand up to the required standards","2,3,7,14,17",,40,10,,,,10,,,,,,,30,,,10,"Comparing what happen in the real work, compared to what people are saying happen based on the data both parties provided","5,8,11,14,17",,,,,20,,,20,,,20,,,10,,,30,,,,,,,,,,,,,,,,,,,,Based on the come of the data see if the rules and procuress have been followed and if not which party is to blame,"2,5,13,14,17",,10,,,20,,,,,,,,30,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Using the Replay software to see what happen with the trains,"7,8,11,13,14",,,,,,,10,30,,,15,,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,90,79,all seem fine,88,80,91,96,have no idea,1,1,1,1,1,1
R_2qgHxIjZIDsFlkS,665488225b3bbb3e8317b1bd,Training Manager,Northern Counties Co-Operative Enterprises Ltd,"My job is marketing, selling and organising training courses for the agricultural and construction industries. I also do the admin for them myself. The organisation I work for is series of businesses which all come under the same umbrella - we have a livestock market, a farm shop, a ceramics business, a farm, and the training business. This all comes under the NCCE name. We are largely an agricultural business.",7,7,4,"1,5,6,9,11",,,,2,,,,4,1,,,3,,5,,,,,8,,,,4,12,,,5,,3,,,,,9,,,,5,6,,,8,,26,,,,,91,,,,74,95,,,99,,94,,,,,99,99,100,"Good questionnaire, easy to follow and relate back to my job","In my job, find out information can mean a lot of different things:
- Finding out available dates for training from instructors
- Finding out which training courses a candidate requires
- Finding out the cost of the training course and communicating this to the customer
- Finding out if a particular date suits a candidate to complete a course
- Finding out if a candidate has passed or failed","1,2,4,8,17",10,20,,10,,,,10,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deciding when to do a course, or deciding what to do if someone fails a course. Solving problems can sometimes involve a date not suiting someone, or someone having a query about a course.","1,5,8,11,15",10,,,,5,,,50,,,15,,,,20,,,"In my job this involves arranging a training course for a certain date, and organising everything surrounding this course - candidate payments, photos needed, ID needed, the materials ordered for the course, and communicating this all to the candidate.","2,3,4,5,13",,20,10,40,20,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In my job this involves calling or emailing both instructors and customers regarding courses coming up, communicating prices and other relevant details, and getting information off them for bookings","5,8,11,12,15",,,,,30,,,20,,,10,20,,,20,,,,,,,,,,,,,,,,,,,,,,"In my job, managing or training others involves managing a variety of freelance instructors to come in on certain dates, getting them paid on time etc. It also involves instructing others of things needed for training courses - a tractor needs brought to the yard for a certain date etc.","2,5,6,8,15",,10,,,20,20,,30,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,I thought it was good and quite enjoyable,89,90,21,22,I would have assumed it would be about what skills and qualities we deem important for various tasks.,1,1,1,1,1,1
R_3D1ZGIKc9l7URpT,6683f92b29e67e4d2925f58d,Architect,Clark Construction,"Design buildings and structures, meeting with clients and understanding their needs.",6,16,4,"4,5,6,8,11",,,,,,,3,1,2,,5,,,4,,,,,,,,3,10,10,,5,,,12,,,,,,,,0,0,79,,1,,,90,,,,,,,,100,100,100,,64,,,100,,,,,100,100,100,Great job with the questionnaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basically generating and improving innovative solutions.,"3,7,8,11,14",,,20,,,,10,15,,,15,,,40,,,,To come up with important decisions to benefit the organization and to provide ideas to solve a problem,"2,3,5,9,14",,20,20,,30,,,,15,,,,,15,,,,"Mostly about setting goals, assessing resources, assigning responsibilities. Also adjusting the plan to ensure effective and efficient task completion.","2,3,6,7,17",,30,20,,,20,20,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,"Basically involves utilizing software , systems and digital tools to efficiently process information.","2,4,5,9,14",,20,,20,20,,,,20,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiding and directing individuals or a team to achieve a specific goal and develop skills,"3,9,10,16,17",,,40,,,,,,15,20,,,,,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,"Don't have any feedback, Great work with the questionnaire.",61,84,68,48,How people are able to perform their jobs ,1,1,1,1,1,1
R_8F53glfT6tBlNOu,6396044f6ae489bb820c67a5,Tech Manager,A large international IT company,"I lead a software division at a large international IT company, which is a leading player in the technology industry. My role involves overseeing the development, deployment, and maintenance of software products and services, as well as managing a team of software engineers and other technical professionals",3,5,4,"3,5,6,8,9",,,,,,3,,1,2,,5,4,,,,,,,,,2,,4,2,,3,1,,,,,,,,,17,,18,18,,19,19,,,,,,,,,4,,20,11,,5,5,,,,,,,80,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When I think of ""Analysing data or working with numbers"" in my job, I'm thinking of activities such as reviewing and interpreting software performance metrics, analyzing customer usage patterns, and identifying trends and correlations in data to inform business decisions. This might involve using tools like Excel, SQL, or data visualization software to manipulate and analyze large datasets, or working with data scientists to develop predictive models or identify areas for improvement. I'm also thinking of activities like creating reports or dashboards to communicate insights to stakeholders, or using data to inform product development or marketing strategies. Overall, this task involves using data to drive decision-making and drive business outcomes","2,5,6,7,8",,15,,,30,20,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I'm thinking of activities such as analyzing complex data to identify trends and patterns, evaluating the pros and cons of different solutions, and weighing the potential risks and benefits of different courses of action","5,7,8,9,13",,,,,15,,30,20,10,,,,25,,,,,"I'm thinking of activities such as creating schedules and timelines for projects, prioritizing tasks and allocating resources, and coordinating with team members to ensure that everyone is working towards the same goals","2,5,7,8,9",,40,,,5,,30,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing and implementing new software solutions to improve our company's operations and efficiency,"5,7,8,9,14",,,,,20,,30,15,25,,,,,10,,,,"In my job, I'm thinking of activities such as presenting data insights to stakeholders, providing technical guidance to colleagues, and collaborating with cross-functional teams to develop solutions. This might involve creating reports, dashboards, or presentations to share with others","2,6,8,9,17",,10,,,,15,,10,25,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,85,83,,67,66,13,12,I would have thought it was about designing a hypothetical AI or robot that could assist me in my job as a tech manager,1,1,1,1,1,1
R_7gjQAOGRamlTYLu,634696400ff1ac25ed01ad11,Outbound Supervisor,Kingpin Tattoo Supply/Nexus Brands,"I am an Outbound Supervisor overseeing the shipping team at a small tattoo supply warehouse. I oversee the picking process from start to finish, ensuring quality and on-time deliveries to customers. The company I work for provides supplies for professionals in the Tattoo, Pet, and Beauty Industry.",1,12,4,"5,6,8,9,11",,,,,,,,3,2,,4,5,,1,,,,,,,,,8,8,,32,8,,40,,,,,,,,,5,3,,5,2,,13,,,,,,,,,6,4,,3,95,,91,,,,,99,100,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Managing problems that occur and figuring out how to correct the issue or lessen damages. For example an order not shipping on time, customer complaints, inventory discrepancies, and picking/packing errors. ","6,7,8,14,17",,,,,,5,30,15,,,,,,10,,,40,I need to delegate tasks according to the workload. I need to move employees to different positions because of changing priorities. I also have to fill in gaps when employees are sick or on vacation.,"5,7,8,14,17",,,,,20,,20,15,,,,,,20,,,25,,,,,,,,,,,,,,,,,,,,"I use NetSuite to look up information, update the status of an order, and resolve inventory discrepancies. I use email to communicate with management, customers, and customer service, I use ChatGPT to improve emails and company communication.","2,3,8,14,17",,5,40,,,,,10,,,,,,10,,,35,"Talk with customer service to resolve any issues, communicate with staff to ensure work is completed correctly, communicating with my boss about our progress and changing priorities","3,8,10,11,17",,,15,,,,,10,,5,20,,,,,,50,,,,,,,,,,,,,,,,,,,,"Training new employees, shifting employees to meet the work demand, evaluating employee performance.","5,9,14,15,17",,,,,10,,,,5,,,,,20,30,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,98,,59,40,10,40,To see if robots will be able to effectively possess the skills needed to replace us at work.,1,1,1,1,1,1
R_8CPUDjc039p1Drb,6696b147351fef555704d845,Education researcher,An educational firm,Middle manager at an educational firm in the educational sector,2,6,4,"4,6,8,9,12",,,,,,,1,,3,,4,2,,,5,,,,,,,11,,8,,7,5,,,4,,,,,,,62,,43,,6,17,,,7,,,,,,,85,,82,,66,77,,,54,,,,87,90,92,Very insightful study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Looking into the past ideas and formulating new ideas that will be acceptable,"1,10,11,14,15",15,,,,,,,,,15,20,,,20,30,,,,,,,,,,,,,,,,,,,,,,"When i am planning or organizing work, i engage in how to distribute information across the team and see to it being followed duly.","2,3,12,16,17",,35,35,,,,,,,,,5,,,,5,20,,,,,,,,,,,,,,,,,,,,Compiling reports and storing data of previews reports,"3,5,8,12,14",,,20,,5,,,35,,,,10,,30,,,,How to best deliver the message in the best way possible for easy understanding,"2,8,10,11,17",,30,,,,,,15,,5,25,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I look out for key points for documentation and cost control for resources,"1,8,13,14,15",10,,,,,,,10,,,,,35,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,66,82,It is well put together,88,85,2,4,Work ethics and achievements,2,1,2,1,1,1
